names,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19,topic20,topic21,topic22,topic23,topic24,topic25,topic26,topic27,topic28,topic29
gnaph_acol_1529_29,0.000604,0.000272,0.336644538,0.000872,0.000571,0.000569,0.000461,0.000814,0.000357,0.002785855,0.000328,0.000698,0.000391,0.001217138,0.000339,0.000297,0.000208,0.000863,0.596816071,0.014227955,0.000318,0.00024,0.000482,0.0009,0.036645248,0.000199,0.000766,0.000554,0.000313,0.000248
gnaph_acol_1529_30,0.000598,0.000269,0.000224,0.000864,0.000565,0.000564,0.000456,0.000806,0.000354,0.00275856,0.000324,0.000691,0.000387,0.011002923,0.000335,0.000295,0.56847271,0.000855,0.346025886,0.004290844,0.000315,0.000238,0.000477,0.000891,0.055881629,0.000197,0.000758,0.000549,0.000309,0.000245
gnaph_acol_1529_31,0.000593,0.000267,0.000222,0.000855,0.00056,0.000558,0.000452,0.000798,0.000351,0.002731794,0.000321,0.000685,0.000383,0.001193519,0.000332,0.000292,0.659983484,0.000847,0.303857934,0.013951858,0.000312,0.000236,0.000472,0.000882,0.006826197,0.000195,0.000751,0.000544,0.000306,0.000243
gnaph_acol_1529_32,0.000598,0.000269,0.000224,0.000864,0.000565,0.000564,0.000456,0.000806,0.000354,0.00275856,0.000324,0.000691,0.000387,0.011002923,0.000335,0.000295,0.823213174,0.000855,0.130476263,0.014088554,0.000315,0.000238,0.000477,0.000891,0.006893078,0.000197,0.000758,0.000549,0.000309,0.000245
gnaph_acol_1529_33,0.000593,0.000267,0.000222,0.000855,0.00056,0.000558,0.000452,0.000798,0.000351,0.002731794,0.000321,0.000685,0.000383,0.001193519,0.000332,0.000292,0.000204,0.000847,0.274749994,0.004249211,0.000312,0.000236,0.000472,0.000882,0.016528844,0.000195,0.000751,0.000544,0.689194375,0.000243
gnaph_acol_1529_34,0.000593,0.000267,0.000222,0.000855,0.00056,0.000558,0.000452,0.000798,0.000351,0.012434441,0.000321,0.000685,0.000383,0.001193519,0.000332,0.000292,0.000204,0.000847,0.556126741,0.004249211,0.000312,0.000236,0.000472,0.000882,0.035934136,0.000195,0.000751,0.000544,0.37870969,0.000243
gnaph_acol_1529_35,0.000593,0.000267,0.000222,0.000855,0.00056,0.000558,0.000452,0.000798,0.000351,0.002731794,0.000321,0.000685,0.000383,0.001193519,0.000332,0.000292,0.000204,0.000847,0.468802923,0.004249211,0.000312,0.000236,0.000472,0.000882,0.113555308,0.000195,0.000751,0.000544,0.398114983,0.000243
gnaph_acol_1529_36,0.000604,0.000272,0.148646091,0.000872,0.000571,0.000569,0.000461,0.000814,0.000357,0.022575165,0.000328,0.000698,0.000391,0.001217138,0.000339,0.455451615,0.000208,0.000863,0.280187107,0.014227955,0.000318,0.00024,0.000482,0.0009,0.066329214,0.000199,0.000766,0.000554,0.000313,0.000248
gnaph_acol_1529_37,0.000593,0.000267,0.000222,0.000855,0.00056,0.000558,0.000452,0.000798,0.000351,0.002731794,0.000321,0.000685,0.000383,0.001193519,0.000332,0.660071664,0.000204,0.000847,0.090399712,0.023654504,0.000312,0.000236,0.010175145,0.010584796,0.191176479,0.000195,0.000751,0.000544,0.000306,0.000243
gnaph_acol_1529_38,0.000593,0.009969339,0.000222,0.000855,0.00056,0.000558,0.000452,0.000798,0.000351,0.002731794,0.000321,0.000685,0.000383,0.001193519,0.010034695,0.368992271,0.000204,0.000847,0.556126741,0.004249211,0.000312,0.000236,0.000472,0.000882,0.035934136,0.000195,0.000751,0.000544,0.000306,0.000243
gnaph_acol_1529_39,0.000593,0.000267,0.000222,0.000855,0.010262266,0.000558,0.000452,0.000798,0.000351,0.002731794,0.000321,0.000685,0.000383,0.001193519,0.000332,0.000292,0.000204,0.000847,0.769584962,0.004249211,0.000312,0.000236,0.000472,0.000882,0.016528844,0.000195,0.000751,0.000544,0.000306,0.184593109
gnaph_acol_1529_40,0.000593,0.000267,0.000222,0.000855,0.00056,0.000558,0.000452,0.000798,0.000351,0.002731794,0.000321,0.000685,0.000383,0.001193519,0.000332,0.000292,0.000204,0.000847,0.100102359,0.023654504,0.000312,0.000236,0.000472,0.010584796,0.094150015,0.000195,0.000751,0.000544,0.000306,0.757049249
gnaph_acol_1529_41,0.000593,0.000267,0.000222,0.000855,0.00056,0.000558,0.000452,0.000798,0.000351,0.04154238,0.000321,0.000685,0.000383,0.010896165,0.000332,0.000292,0.000204,0.000847,0.245642055,0.004249211,0.000312,0.000236,0.000472,0.000882,0.123257954,0.000195,0.000751,0.000544,0.000306,0.56299632
gnaph_acol_1529_42,0.000593,0.009969339,0.000222,0.000855,0.00056,0.000558,0.000452,0.000798,0.000351,0.012434441,0.000321,0.000685,0.000383,0.001193519,0.000332,0.000292,0.000204,0.000847,0.109805005,0.004249211,0.000312,0.000236,0.000472,0.010584796,0.16206854,0.000195,0.000751,0.000544,0.000306,0.679428077
gnaph_acol_1529_43,0.000593,0.000267,0.000222,0.000855,0.00056,0.000558,0.000452,0.000798,0.000351,0.002731794,0.000321,0.000685,0.000383,0.001193519,0.000332,0.000292,0.000204,0.000847,0.226236762,0.004249211,0.000312,0.000236,0.000472,0.000882,0.142663247,0.000195,0.000751,0.000544,0.000306,0.611509552
